id,type,lod,point_count,unique_point_count,surface_count,actual_volume,convex_hull_volume,obb_volume,aabb_volume,footprint_perimeter,obb_width,obb_length,surface_area,ground_area,wall_area,roof_area,ground_point_count,wall_point_count,roof_point_count,ground_surface-count,wall_surface_count,roof_surface_count,max_Z,min_Z,height_range,mean_Z,median_Z,std_Z,mode_Z,ground_Z,orientation_values,orientation_edges,errors,valid,hole_count,geometry,2d_grid_point_count,3d_grid_point_count,circularity_2d,hemisphericality_3d,convexity_2d,convexity_3d,fractality_2d,fractality_3d,rectangularity_2d,rectangularity_3d,squareness_2d,cubeness_3d,horizontal_elongation,min_vertical_elongation,max_vertical_elongation,form_factor_3D,equivalent_rectangularity_index_2d,equivalent_prism_index_3d,proximity_index_2d_,proximity_index_3d,exchange_index_2d,exchange_index_3d,spin_index_2d,spin_index_3d,perimeter_index_2d,circumference_index_3d,depth_index_2d,depth_index_3d,girth_index_2d,girth_index_3d,dispersion_index_2d,dispersion_index_3d,range_index_2d,range_index_3d,roughness_index_2d,roughness_index_3d,shared_walls_area,closest_distance
NL.IMBAG.Pand.0417100000007087-0,BuildingPart,1.2,102,34,19,2191.302948361972,2776.664936652606,3525.746752369376,4277.807991700024,90.67641354041429,18.488344960524625,27.770649287759852,1286.2441697816892,319.10629799995536,622.6749317820249,319.10629799995536,17,68,17,1,17,1,17.301501708984375,17.301501708984375,0.0,17.301501708984375,17.301501708984375,0.0,17.301501708984375,10.434501708984374,"[  0.           0.         190.73491931   0.           0.
   0.           0.           0.           0.           0.
   0.          61.1037708   46.28680536   0.           0.
   0.          26.83223727   0.           0.           0.
 170.30047987   1.28748467   0.           0.           0.
   0.           0.           0.           0.         114.33484463
  11.79438986   0.           0.           0.           0.
   0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143412.114 474858.50425 10.434501708984374, 143414.77300000002 474864.54325 10.434501708984374, 143421.76 474861.65425 10.434501708984374, 143421.48400000003 474861.07925 10.434501708984374, 143427.25900000002 474858.49325 10.434501708984374, 143424.678 474852.96325000003 10.434501708984374, 143424.527 474853.02925 10.434501708984374, 143424.27000000002 474852.36825 10.434501708984374, 143424.114 474852.47225 10.434501708984374, 143420.50100000002 474850.98425 10.434501708984374, 143416.018 474852.91625 10.434501708984374, 143412.76700000002 474845.40025 10.434501708984374, 143408.00900000002 474847.45725 10.434501708984374, 143394.717 474853.20425 10.434501708984374, 143398.706 474862.43025 10.434501708984374, 143411.453 474856.91925 10.434501708984374, 143412.195 474858.46825 10.434501708984374, 143412.114 474858.50425 10.434501708984374))",660,2256,0.48770428437383717,0.3680434462550015,0.7891852270116775,0.789185227009668,0.36042334028691436,0.2817260822713965,0.6215145585054472,0.6215145619546755,0.788012932001457,0.8028045961785532,0.3342487325756003,0.3769860571243411,0.0641941317124024,1.8914742223738186,0.8043730297529399,0.96007373090713,0.8194722619761422,0.6912582338235616,0.6847873122984782,0.4651538831247829,0.6326686307701733,0.43641744300097224,0.6983582779446644,0.6470572748436345,0.6176502662248042,0.5891913671833595,0.49220533808012196,0.4172546077675154,0.6987827426676883,0.6671291930007133,0.6113879965165612,0.4785274151470233,0.5496493949052248,1.0186716406380536,0.0,8.069537099473726
NL.IMBAG.Pand.0417100000007089-0,BuildingPart,1.2,126,42,23,1557.9759885222775,2199.4788250224883,2804.4554636130233,3676.76960157789,80.08007064754874,13.63981824882448,26.36675746309229,1300.4162819116452,199.79174000029218,624.4643909095851,199.79174000029218,21,84,21,1,21,1,17.193501708984375,17.193501708984375,0.0,17.193501708984382,17.193501708984375,7.105427357601002e-15,17.193501708984375,9.395501708984375,"[  0.           0.           0.           0.         141.16283054
  10.6052456    0.           0.           0.           0.
   9.38978289   0.           0.         138.37998817   0.
   0.           9.02043572   0.           0.          12.41655635
   0.           0.         141.37930434   0.           0.
   0.           0.           0.           0.           0.
   0.         162.1102473    0.           0.           0.
   0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143552.89800000002 474851.09825 9.395501708984375, 143558.22400000002 474846.53425 9.395501708984375, 143566.27300000002 474856.14325 9.395501708984375, 143569.62300000002 474853.33625 9.395501708984375, 143570.867 474854.82225 9.395501708984375, 143575.257 474851.14425 9.395501708984375, 143574.18000000002 474849.85825 9.395501708984375, 143575.02200000003 474848.79025 9.395501708984375, 143574.91100000002 474847.59125 9.395501708984375, 143574.19100000002 474846.70125 9.395501708984375, 143573.09300000002 474846.33725 9.395501708984375, 143571.546 474846.71425 9.395501708984375, 143568.363 474842.91425000003 9.395501708984375, 143564.04 474846.53625 9.395501708984375, 143560.76200000002 474842.62225 9.395501708984375, 143561.24000000002 474842.22125 9.395501708984375, 143558.11800000002 474838.49525 9.395501708984375, 143553.165 474842.64425 9.395501708984375, 143548.54 474846.51225 9.395501708984375, 143551.926 474850.52925 9.395501708984375, 143552.206 474850.29225 9.395501708984375, 143552.89800000002 474851.09825 9.395501708984375))",486,1722,0.3915060683374017,0.3575127712497901,0.708338707694848,0.7083387076965145,0.39570580979655734,0.292974282821039,0.5555360179856162,0.5555360064499341,0.7060318747839696,0.787417080973955,0.4826888263406204,0.3479098924829295,0.2066875916441696,1.4866327268542965,0.744720037491263,0.8864095606298715,0.7530124336641847,0.7091137468167877,0.5841734611434124,0.43968062128770113,0.537329493652815,0.4671847654778935,0.6257044576614439,0.6346549994925753,0.5534066641502154,0.5651127619855203,0.5379497540611025,0.48596684776509236,0.6577532268705863,0.6659624656286074,0.58820033810496,0.5097773234748075,0.47157408220107716,0.9375699241988805,0.0,1.5620786900363068
NL.IMBAG.Pand.0417100000007096-0,BuildingPart,1.2,114,38,21,2002.105314331336,2306.8345779897904,2779.0742500192773,4205.9362190442625,87.59804569266404,14.648542771021226,28.451824886635574,1358.2580696800796,300.25574600050015,584.103768678684,300.25574600050015,19,76,19,1,19,1,15.861501708984376,15.861501708984376,0.0,15.861501708984372,15.861501708984376,3.552713678800501e-15,15.861501708984376,9.193501708984375,"[  0.           0.           0.           0.         189.01107949
   0.           0.           0.           0.           0.
   0.           0.           0.         102.37290844   0.
   0.           0.           0.           0.           0.
   0.           0.         189.93829599   0.           0.
   0.           0.           0.           0.           0.
   4.80860359  97.97288116   0.           0.           0.
   0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143530.051 474857.91725 9.193501708984375, 143529.59900000002 474857.29925 9.193501708984375, 143524.79 474861.15325 9.193501708984375, 143525.19600000003 474861.74925 9.193501708984375, 143523.595 474863.00425 9.193501708984375, 143521.655 474860.52125 9.193501708984375, 143517.486 474863.78925000003 9.193501708984375, 143513.144 474867.29925 9.193501708984375, 143513.276 474867.47325 9.193501708984375, 143513.18000000002 474867.55125 9.193501708984375, 143515.71800000002 474870.63525 9.193501708984375, 143515.958 474870.45325 9.193501708984375, 143520.314 474875.88925 9.193501708984375, 143527.78900000002 474869.82725000003 9.193501708984375, 143529.975 474872.57925 9.193501708984375, 143544.404 474861.12825 9.193501708984375, 143540.266 474855.91325 9.193501708984375, 143535.77500000002 474859.47725 9.193501708984375, 143532.833 474855.71125 9.193501708984375, 143530.051 474857.91725 9.193501708984375))",672,2142,0.4917137546146537,0.3692598786838289,0.8679015536825391,0.8679015536848768,0.3622912618613241,0.28389916778572477,0.7204216848891948,0.7204216707478932,0.7912454720663994,0.8045725403372801,0.4851457567524269,0.4425137307647756,0.07647188521097581,1.890166441466957,0.8352374170470965,0.9554075538571213,0.8445996404817642,0.697489544674681,0.7025875472518206,0.5124559164828085,0.6595269496854765,0.43900372217679257,0.7012230419878213,0.6484822307231434,0.6459769803363368,0.583496344680318,0.6021870583011697,0.404589878853212,0.7162240980682915,0.6759774595772554,0.6133559760166536,0.4801485550150448,0.5801201847831429,1.0333362408773954,0.0,7.213300567230202
NL.IMBAG.Pand.0417100000007151-0,BuildingPart,1.2,96,32,18,1322.1542151341096,1804.1475849829253,2272.2058678429703,2449.2707968900568,75.56349932885152,12.557123730704886,25.615734203439573,977.4144072577508,187.16792399973252,533.7805592590073,187.16792399973252,16,64,16,1,16,1,21.061501708984373,21.061501708984373,0.0,21.061501708984373,21.061501708984373,0.0,21.061501708984373,13.997501708984375,"[  0.         148.76099271   7.54873266   0.           0.
   0.           0.           0.           0.           0.
 110.15829759   0.           0.           0.           0.
   0.           0.           0.           0.         155.9056278
   0.           0.           0.           0.           0.
   0.           0.           0.         111.4069085    0.
   0.           0.           0.           0.           0.
   0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143182.99800000002 474879.26925 13.997501708984375, 143181.722 474873.02925 13.997501708984375, 143175.42700000003 474874.31725 13.997501708984375, 143175.945 474876.85025 13.997501708984375, 143175.057 474877.01325 13.997501708984375, 143175.505 474879.99725 13.997501708984375, 143176.52300000002 474879.67225 13.997501708984375, 143177.31000000003 474883.52025 13.997501708984375, 143183.703 474882.21225 13.997501708984375, 143184.42 474885.71625 13.997501708984375, 143188.20200000002 474884.94225 13.997501708984375, 143188.80200000003 474887.33725 13.997501708984375, 143195.325 474885.96525 13.997501708984375, 143195.364 474886.15625 13.997501708984375, 143199.29 474885.35225 13.997501708984375, 143197.44100000002 474876.31425 13.997501708984375, 143182.99800000002 474879.26925 13.997501708984375))",375,1561,0.4119240642096876,0.3633130680707161,0.7328414959733236,0.7328414959725275,0.3951400649679151,0.2965668725047317,0.5818813550804345,0.5818813488010419,0.7242085390133153,0.7959109335072976,0.5097886466584757,0.17779043373442238,0.4037878255685684,1.553734040518788,0.7707079354908022,0.9076718519602486,0.7604687625303264,0.691178470059761,0.5764086912202615,0.44215967752932434,0.5410700155002333,0.440346620138745,0.6418131069164041,0.6415010104637505,0.6053766012882904,0.5508641599116092,0.5561150523816487,0.5132940048055065,0.6559506877063698,0.6635964171583967,0.5871708810644746,0.5002095305551723,0.5108875807578819,1.021315276730612,0.0,4.012160016774446
NL.IMBAG.Pand.0417100000007152-0,BuildingPart,1.2,96,32,18,1617.9671770257878,1894.789723040741,2123.093372207883,2760.0476850621994,65.83897163295558,11.027972873515434,19.96462941699701,1045.5968074560467,167.78670299966694,634.8852034565908,167.78670299966694,16,64,16,1,16,1,21.860501708984376,21.860501708984376,0.0,21.860501708984376,21.860501708984376,0.0,21.860501708984376,12.217501708984376,"[  0.         186.21921237   0.           0.           0.
   7.56155093   0.           0.           0.           0.
 117.43464598   0.           0.           0.           0.
   8.35718816   0.           0.           0.         186.79292624
   0.           0.           0.           0.           0.
   0.           0.           0.         128.51967977   0.
   0.           0.           0.           0.           0.
   0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143304.29700000002 474864.63325 12.217501708984376, 143310.589 474863.44125 12.217501708984376, 143310.616 474863.58325 12.217501708984376, 143317.182 474862.32525 12.217501708984376, 143316.899 474860.84925 12.217501708984376, 143323.01 474859.67925 12.217501708984376, 143322.693 474858.02525 12.217501708984376, 143323.182 474857.41225 12.217501708984376, 143322.92700000003 474855.77025 12.217501708984376, 143322.178 474855.33425 12.217501708984376, 143321.21800000002 474850.32425 12.217501708984376, 143308.54100000003 474852.75225 12.217501708984376, 143309.82100000003 474859.43125 12.217501708984376, 143306.66 474859.98025 12.217501708984376, 143306.382 474857.76925 12.217501708984376, 143303.179 474858.34925 12.217501708984376, 143304.29700000002 474864.63325 12.217501708984376))",315,1818,0.4864086915191265,0.40245318623295523,0.853903289294119,0.853903289294439,0.3882930187506315,0.2837865421564214,0.7620800591286871,0.7620800847506788,0.7869655525784078,0.8520937330025767,0.44762446408713696,0.08672592775893095,0.4955297449105167,1.217431129094844,0.8218741083970492,0.892442113274549,0.8917493126938759,0.8451052459417202,0.7365325748495218,0.6664494808755363,0.7444511950312146,0.67591653939082,0.6974300620987932,0.6867841208340058,0.6870053938510561,0.6165780154846335,0.650118807578731,0.6169947053011898,0.7658942912676115,0.7859772202911717,0.6595734036971843,0.602693847719085,0.5710088016806978,0.7865640886087788,0.0,22.302419657518683
NL.IMBAG.Pand.0417100000007166-0,BuildingPart,1.2,96,32,18,1374.2413893181288,1717.3316587527113,2090.8229340443186,2118.64983575388,75.27687697407443,11.526868451965353,24.59483312869712,1117.3036346841686,186.33781550076316,555.1669676837992,186.33781550076316,16,64,16,1,16,1,20.160501708984377,20.160501708984377,0.0,20.160501708984377,20.160501708984377,0.0,20.160501708984377,12.785501708984375,"[  0.         175.27689702   0.           0.           0.
   0.           0.           0.           0.           0.
 102.30356155   0.           0.           0.           0.
   0.           0.           0.           0.         175.27567509
   0.           0.           0.           0.           0.
   0.           0.           0.         102.31083403   0.
   0.           0.           0.           0.           0.
   0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143289.687 474829.76725 12.785501708984375, 143276.29100000003 474832.01725 12.785501708984375, 143275.844 474829.35125 12.785501708984375, 143269.58500000002 474830.40225 12.785501708984375, 143269.38 474829.18425 12.785501708984375, 143265.597 474829.81925 12.785501708984375, 143266.68000000002 474836.26325 12.785501708984375, 143270.405 474835.63725 12.785501708984375, 143271.239 474840.60125 12.785501708984375, 143276.78100000002 474839.67025 12.785501708984375, 143276.53300000002 474838.19225 12.785501708984375, 143279.924 474837.62225 12.785501708984375, 143280.30500000002 474839.89525 12.785501708984375, 143285.13400000002 474839.08425 12.785501708984375, 143284.80800000002 474837.14525 12.785501708984375, 143290.75900000002 474836.14625 12.785501708984375, 143289.687 474829.76725 12.785501708984375))",312,1547,0.41322603637437144,0.3656476206337867,0.8002189805994848,0.8002189805993752,0.39512243227287913,0.2950092235587686,0.6572729852813867,0.6572729650807434,0.7253521423598476,0.7993168328943091,0.5313296743405889,0.18029524317198098,0.4282449604501415,1.5075057714517426,0.7780535600717856,0.8960572776794528,0.7958439551214159,0.7270690519253975,0.6603601806938837,0.5246121011320897,0.5833398219343373,0.48108856318974236,0.6428265989941389,0.6442461516677767,0.5725713427558144,0.5630696967679462,0.4596989402995397,0.5067252608815088,0.6866516313745461,0.6854022925176632,0.5936730306629724,0.5113960494219424,0.5120881834030504,0.932864392834358,0.0,1.2896829067370617
NL.IMBAG.Pand.0417100000007168-0,BuildingPart,1.2,120,40,22,1188.8844966701522,1487.0382179748676,1784.0581220247877,2134.435213257106,70.03844594383298,15.862721964188735,18.278661499744715,1004.8263408928939,193.22029849994354,430.9465578924043,193.22029849994354,20,80,20,1,20,1,19.954501708984374,19.954501708984374,0.0,19.954501708984374,19.954501708984374,0.0,19.954501708984374,13.801501708984375,"[  0.         112.45780536   0.           0.           0.
   0.           0.           0.           0.           0.
 102.87384371   0.           0.           0.           0.
   0.           0.           0.           0.         112.45265328
   0.           0.           0.           0.           0.
   0.           0.           0.         103.16225554   0.
   0.           0.           0.           0.           0.
   0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143365.96300000002 474597.29925 13.801501708984375, 143367.439 474604.70925 13.801501708984375, 143369.12600000002 474604.37325 13.801501708984375, 143369.60100000002 474606.75625 13.801501708984375, 143371.059 474606.46825 13.801501708984375, 143372.19700000001 474612.18025 13.801501708984375, 143374.727 474611.62025 13.801501708984375, 143374.747 474611.72425 13.801501708984375, 143379.121 474610.85325 13.801501708984375, 143379.059 474610.53925000003 13.801501708984375, 143382.75600000002 474609.80325 13.801501708984375, 143382.815 474610.09725 13.801501708984375, 143386.842 474609.29525 13.801501708984375, 143386.79400000002 474609.05625 13.801501708984375, 143386.93600000002 474609.03325 13.801501708984375, 143385.27500000002 474600.68625 13.801501708984375, 143380.665 474601.60325 13.801501708984375, 143380.77300000002 474602.14325 13.801501708984375, 143375.79400000002 474603.13725 13.801501708984375, 143374.298 474595.64025 13.801501708984375, 143365.96300000002 474597.29925 13.801501708984375))",357,1326,0.494982232910478,0.3825684398412988,0.7994982793990169,0.7994982793981193,0.3805864818399527,0.29608792253428384,0.6663933373002232,0.6663933657726616,0.7938708666294105,0.8237900669035635,0.13217267224898943,0.0839830647580202,0.20505547091428222,1.7217085632069755,0.7958659659493171,0.9334214003905409,0.86415432928446,0.7553073353922343,0.7289042513332444,0.5192585957828173,0.7200095382851515,0.5359517774925552,0.703549737339499,0.6639714798236167,0.6447995425410107,0.5883192204948796,0.5215025504114285,0.4031031057648314,0.7398644961902503,0.7117279189778885,0.6513712707968753,0.5288423942887571,0.5491881791164078,0.9239152913189129,0.0,6.506211877937064
NL.IMBAG.Pand.0417100000007169-0,BuildingPart,1.2,24,8,6,770.9148254785107,770.9148254784296,778.560681319647,1192.108406056659,51.85392859123603,7.172853128729168,18.89341716034657,566.2784787570029,134.18882950017587,297.900819756651,134.18882950017587,4,16,4,1,4,1,18.706501708984376,18.706501708984376,0.0,18.706501708984376,18.706501708984376,0.0,18.706501708984376,12.961501708984375,"[  0.          41.20829071   0.           0.           0.
   0.           0.           0.           0.           0.
 107.38339252   0.           0.           0.           0.
   0.           0.           0.           0.          40.90984932
   0.           0.           0.           0.           0.
   0.           0.           0.         108.39928721   0.
   0.           0.           0.           0.           0.
   0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143397.293 474604.99425 12.961501708984375, 143400.793 474623.53525 12.961501708984375, 143407.84600000002 474622.22925 12.961501708984375, 143404.325 474603.87225 12.961501708984375, 143397.293 474604.99425 12.961501708984375))",220,775,0.62713768443237,0.4302020757100217,1.0,1.0000000000001052,0.3795955462606809,0.30088996773049737,0.9901794585728975,0.9901794991391337,0.8935863135774489,0.89082444400375,0.6203517305602333,0.009893152190303067,0.6165582833008172,1.5960461057464908,1.000424182268813,1.0009198529896286,0.8252968798022383,0.755011358167336,0.6590045033157793,0.5290468800018933,0.6308375254470526,0.520194730170303,0.7919202513084066,0.7180009180876201,0.7175615218010838,0.6785540228350874,0.546144084165395,0.4388640695572085,0.6984305457106234,0.6875196259775502,0.6467918043338331,0.541475146258605,0.7988614736802848,1.1014005138553182,0.0,6.080843409967116
NL.IMBAG.Pand.0417100000007170-0,BuildingPart,1.2,120,40,22,1721.802386961098,2153.3839138824906,2781.1372710478818,4538.13735070857,82.14861485070175,11.217604200119746,30.975280908870367,1180.8774962661648,215.11773950038705,657.5175132650173,215.11773950038705,20,80,20,1,20,1,22.657501708984377,22.657501708984377,0.0,22.65750170898438,22.657501708984377,3.552713678800501e-15,22.657501708984377,14.653501708984376,"[  0.           0.           0.         197.01059856  44.90582481
   0.           0.           0.          10.80161671   0.
   0.           0.          31.72387041  44.60567076   0.
   0.           0.           0.           8.74841594   0.
   0.         225.35291498   0.           0.           0.
   0.           0.           0.          42.89471372   0.
  51.47388738   0.           0.           0.           0.
   0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143326.687 474631.96525 14.653501708984376, 143327.883 474637.18925 14.653501708984376, 143329.768 474635.95725 14.653501708984376, 143330.105 474636.47025 14.653501708984376, 143334.643 474633.17125 14.653501708984376, 143335.548 474632.58025 14.653501708984376, 143337.31000000003 474635.42925 14.653501708984376, 143338.198 474636.78325 14.653501708984376, 143342.80000000002 474633.68425 14.653501708984376, 143340.923 474631.04225 14.653501708984376, 143345.36800000002 474628.13725 14.653501708984376, 143344.49500000002 474626.80125 14.653501708984376, 143353.22 474621.09925 14.653501708984376, 143352.401 474619.84625 14.653501708984376, 143352.69100000002 474618.52825 14.653501708984376, 143351.336 474616.63025 14.653501708984376, 143350.246 474616.54925 14.653501708984376, 143349.77000000002 474615.82025 14.653501708984376, 143331.22400000002 474627.94025 14.653501708984376, 143331.68800000002 474628.65025 14.653501708984376, 143326.687 474631.96525 14.653501708984376))",594,2112,0.4005766217855506,0.36091012376097736,0.7995798500499781,0.7995798500494679,0.390818989052543,0.2895436567245898,0.6191000792565543,0.6191001087524005,0.7141638436337868,0.7923976290945581,0.6378530276086255,0.26852958087311596,0.5049055123464194,1.4974558330635332,0.8082568678198861,0.9151209154469684,0.7576251895655539,0.6902757458265399,0.6202609329077815,0.5165226858285711,0.5092043550101057,0.42343674114574487,0.6329112274130951,0.6386693012410773,0.5585845356158753,0.5267916534263928,0.47057221424715634,0.470574615731236,0.657290869811713,0.6518858795216139,0.530640277660791,0.46183302334815307,0.5645718353438226,1.1228015882961346,0.0,8.344425923951558
NL.IMBAG.Pand.0417100000007171-0,BuildingPart,1.2,66,22,13,738.8434434151909,772.5856272762032,815.0863365377098,1159.4743221599044,44.52963768899447,8.691624984878079,13.532231114714348,536.5234561848116,106.61521550002756,308.5903891847315,106.61521550002756,11,44,11,1,11,1,24.334501708984376,24.334501708984376,0.0,24.334501708984373,24.334501708984376,3.552713678800501e-15,24.334501708984376,17.404501708984377,"[ 0.          0.         60.23296119  0.          0.          0.
  0.          0.          0.          0.          0.         94.04138226
  0.          0.          0.          0.          0.          0.
  0.          0.         60.71800899  0.          0.          0.
  0.          0.          0.          0.          0.         93.59803675
  0.          0.          0.          0.          0.          0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((143253.614 474593.97525 17.404501708984377, 143253.08800000002 474592.38325 17.404501708984377, 143248.90000000002 474593.81425 17.404501708984377, 143249.516 474595.43125 17.404501708984377, 143248.52000000002 474595.78525 17.404501708984377, 143250.105 474600.45125 17.404501708984377, 143249.402 474600.68925 17.404501708984377, 143251.59900000002 474607.17525000003 17.404501708984377, 143259.831 474604.38625 17.404501708984377, 143257.415 474597.25425 17.404501708984377, 143256.00400000002 474593.12525 17.404501708984377, 143253.614 474593.97525 17.404501708984377))",180,756,0.6756639223202172,0.46610258119318165,0.956325638648999,0.9563256386480131,0.3850058470978637,0.2962821634814353,0.906460330936278,0.9064603469536978,0.9275138946932103,0.9397192637924677,0.35770938944227815,0.44390761411324875,0.6428270819422983,1.304520495108499,0.9503304653328392,0.975101084315835,0.9488202149294188,0.8829449392302295,0.8263891386893485,0.7083717595134597,0.8716179057647871,0.7485707279790187,0.8219877872086769,0.7574099461338692,0.8200607992878371,0.72963383285785,0.6657547875349653,0.6107106011635224,0.8360119520022551,0.8158527285712815,0.759957741206712,0.6666604156718844,0.764845386215813,0.8447349223938785,0.0,1.311757697950071
